===== TRAIN HARD U-NET =====
[train] ep0 step5240 loss=0.0749 l1=0.0483
[train] ep0 step5260 loss=0.1358 l1=0.0698
[train] ep0 step5280 loss=0.1413 l1=0.0872
[train] ep0 step5300 loss=0.0918 l1=0.0535
[train] ep0 step5320 loss=0.0830 l1=0.0576
[train] ep0 step5340 loss=0.0952 l1=0.0539
[train] ep0 step5360 loss=0.1149 l1=0.0726
[train] ep0 step5380 loss=0.1092 l1=0.0773
[train] ep0 step5400 loss=0.0799 l1=0.0489
[train] ep0 step5420 loss=0.0821 l1=0.0455
[train] ep0 step5440 loss=0.0470 l1=0.0254
[train] ep0 step5460 loss=0.1016 l1=0.0589
[train] ep0 step5480 loss=0.1209 l1=0.0663
[train] ep0 step5500 loss=0.0982 l1=0.0531
[train] ep0 step5520 loss=0.0721 l1=0.0405
[train] ep0 step5540 loss=0.0989 l1=0.0639
[train] ep0 step5560 loss=0.1067 l1=0.0624
[train] ep0 step5580 loss=0.1333 l1=0.0733
[train] ep0 step5600 loss=0.0880 l1=0.0447
[train] ep0 step5620 loss=0.1572 l1=0.0777
[train] ep0 step5640 loss=0.0866 l1=0.0560
[train] ep0 step5660 loss=0.0920 l1=0.0588
[train] ep0 step5680 loss=0.1206 l1=0.0761
[train] ep0 step5700 loss=0.1140 l1=0.0790
[train] ep0 step5720 loss=0.0657 l1=0.0347
[train] ep0 step5740 loss=0.1102 l1=0.0574
[train] ep0 step5760 loss=0.0935 l1=0.0623
[train] ep0 step5780 loss=0.0956 l1=0.0614
[train] ep0 step5800 loss=0.0758 l1=0.0503
[train] ep0 step5820 loss=0.0848 l1=0.0557
[train] ep0 step5840 loss=0.0622 l1=0.0313
[train] ep0 step5860 loss=0.0812 l1=0.0533
[train] ep0 step5880 loss=0.0841 l1=0.0473
[train] ep0 step5900 loss=0.0756 l1=0.0413
[train] ep0 step5920 loss=0.1033 l1=0.0774
[train] ep0 step5940 loss=0.0925 l1=0.0490
[train] ep0 step5960 loss=0.1071 l1=0.0573
[train] ep0 step5980 loss=0.0639 l1=0.0372
