===== TRAIN MASKED COMPLETION DDPM 10K =====
[train-ddpm] training degradation filter=['mask_dropout', 'mixed_structured', 'lowfreq_atmospheric_bias', 'blur_downsample_upsample'] probs={'blur_downsample_upsample': 0.18, 'lowfreq_atmospheric_bias': 0.18, 'mixed_structured': 0.2, 'mask_dropout': 0.07}
[train-ddpm] validation degradation filter=['mask_dropout', 'mixed_structured', 'lowfreq_atmospheric_bias', 'blur_downsample_upsample'] probs={'blur_downsample_upsample': 0.18, 'lowfreq_atmospheric_bias': 0.18, 'mixed_structured': 0.2, 'mask_dropout': 0.07}
[train-ddpm] degradation_profile=hard  types=['blur_downsample_upsample', 'lowfreq_atmospheric_bias', 'mixed_structured', 'mask_dropout']
[train-ddpm] ep0 step4300 masked_mse_eps=0.0676 mask_only=0.0676 mask_area_fraction=1.0000
[train-ddpm] ep0 step4320 masked_mse_eps=0.0471 mask_only=0.0471 mask_area_fraction=1.0000
[train-ddpm] ep0 step4340 masked_mse_eps=0.0762 mask_only=0.0782 mask_area_fraction=0.5538
[train-ddpm] ep0 step4360 masked_mse_eps=0.1472 mask_only=0.1472 mask_area_fraction=1.0000
[train-ddpm] ep0 step4380 masked_mse_eps=0.0407 mask_only=0.0407 mask_area_fraction=1.0000
[train-ddpm] ep0 step4400 masked_mse_eps=0.0551 mask_only=0.0569 mask_area_fraction=0.5384
[train-ddpm] ep0 step4420 masked_mse_eps=0.1843 mask_only=0.1843 mask_area_fraction=1.0000
[train-ddpm] ep0 step4440 masked_mse_eps=0.0562 mask_only=0.0582 mask_area_fraction=0.5161
[train-ddpm] ep0 step4460 masked_mse_eps=0.0264 mask_only=0.0263 mask_area_fraction=0.5700
[train-ddpm] ep0 step4480 masked_mse_eps=0.0315 mask_only=0.0315 mask_area_fraction=1.0000
[val-ddpm] ep0 loss=0.1196  mask_only_loss=0.1204  x0_l1=0.5308  final_from_x0_psnr=33.62dB  mask_area_fraction=0.9132  outside_mask_max_diff=0.00000000
[train-ddpm] saved epoch sample grid (sampling took 1.4s)
[val-ddpm] new best loss=0.1196
[train-ddpm] ep1 step4500 masked_mse_eps=0.0134 mask_only=0.0134 mask_area_fraction=0.5135
[train-ddpm] ep1 step4520 masked_mse_eps=0.0807 mask_only=0.0807 mask_area_fraction=1.0000
[train-ddpm] ep1 step4540 masked_mse_eps=0.0375 mask_only=0.0360 mask_area_fraction=0.5257
[train-ddpm] ep1 step4560 masked_mse_eps=0.0602 mask_only=0.0602 mask_area_fraction=1.0000
